Subject,Catalog,Title,preq1 subject,preq1 catalog,pereq1 title ,Co /Pre,AND/OR,preq2 sub,preq2 cat,pereq2 title ,Co /Pre,AND/OR,preq3 no,preq3 cat,pereq3 title ,Co /Pre,AND/OR,preq4 no,preq4 cat,pereq4 title ,Co /Pre,
CS,F351,THEORY OF COMPUTATION,CS,    F222,DISCR STRUC FOR COMP SCI,PRE,AND,CS,    F214,LOGIC IN COMPUTER SC,PRE,,,,,,,,,,,
CS,F363,COMPILER CONSTRUCTION,CS,    F351,THEORY OF COMPUTATION,PRE,AND,CS,    F301,PRINCIPLES OF PROGG LANG,PRE,,,,,,,,,,,
CS,F364,DESIGN & ANAL OF ALGO,CS,    F211,DATA STRUCTURES & ALGO,PRE,,,,,,,,,,,,,,,,
CS,F372,OPERATING SYSTEMS,,,,,,,,,,,,,,,,,,,,
CS,F401,MULTIMEDIA COMPUTING,,,,,,,,,,,,,,,,,,,,
CS,F407,ARTIFICIAL INTELLIGENCE,,,,,,,,,,,,,,,,,,,,
CS,F413,INTERNETWORKING TECHNOLOG,,,,,,,,,,,,,,,,,,,,
CS,F415,DATA MINING,,,,,,,,,,,,,,,,,,,,
CS,F422,PARALLEL COMPUTING,,,,,,,,,,,,,,,,,,,,
CS,F424,SOFTWARE FOR EMBEDED SYS,,,,,,,,,,,,,,,,,,,,
CS,F441,SEL TOPICS FROM COMP SC,,,,,,,,,,,,,,,,,,,,
CS,F446,DATA STORAGE TECH & NETW,,,,,,,,,,,,,,,,,,,,
CS,F469,INFORMATION RETRIEVAL,,,,,,,,,,,,,,,,,,,,
ECE,F211,ELECTRICAL MACHINES,EEE,    F111,ELECTRICAL SCIENCES,PRE,,,,,,,,,,,,,,,,
ECE,F212,ELECTROMAGNETIC THEO I,,,,,,,,,,,,,,,,,,,,
ECE,F214,ELECTRONIC DEVICES,EEE,    F111,ELECTRICAL SCIENCES,PRE,,,,,,,,,,,,,,,,
ECE,F215,DIGITAL DESIGN,,,,,,,,,,,,,,,,,,,,
ECE,F241,MICROPROC & INTERFACING,,,,,,,,,,,,,,,,,,,,
ECE,F242,CONTROL SYSTEMS,,,,,,,,,,,,,,,,,,,,
ECE,F243,SIGNALS & SYSTEMS,,,,,,,,,,,,,,,,,,,,
ECE,F244,MICROELECTRONIC CIRCUITS,,,,,,,,,,,,,,,,,,,,
ECE,F311,COMMUNICATION SYSTEMS,ECE,    F243,SIGNALS & SYSTEMS,PRE,,,,,,,,,,,,,,,,
ECE,F312,EM FIELDS AND MICROWAVE ENGINEERING LABORATORY,EEE,F212,ELECTROMAGNETIC THEORY,CO/PRE,OR,ECE,F212,ELECTROMAGNETIC THEORY,CO/PRE,OR,INSTR,F212,ELECTROMAGNETIC THEORY,CO/PRE,,,,,,
ECE,F314,EM FIELDS & MICRO ENGG,,,,,,,,,,,,,,,,,,,,
ECE,F341,ANALOG ELECTRONICS,ECE,    F244,MICROELECTRONIC CIRCUITS,PRE,,,,,,,,,,,,,,,,
ECE,F344,INFO THEORY & CODING,EEE,F243,SIGNALS & SYSTEM,PRE,,,,,,,,,,,,,,,,
ECE,F414,TELECOM SWIT SYS & NETWK,,,,,,,,,,,,,,,,,,,,
ECE,F416,DIGITAL COMMUNICATION,,,,,,,,,,,,,,,,,,,,
ECE,F418,MOD COMMUNICATION TECH,ECE,    F243,SIGNALS & SYSTEMS,PRE,,,,,,,,,,,,,,,,
ECE,F431,MOBILE TELECOM NETWORKS,ECE,    F243,SIGNALS & SYSTEMS,PRE,,,,,,,,,,,,,,,,
ECE,F434,DIGITAL SIGNAL PROCESS,ECE ,    F243,SIGNALS & SYSTEMS,PRE,,,,,,,,,,,,,,,,
ECE,F472,SATELLITE COMMUNICATION,ECE,    F243,SIGNALS & SYSTEMS,PRE,,,,,,,,,,,,,,,,
ECON,F211,PRINCIPLES OF ECONOMICS,,,,,,,,,,,,,,,,,,,,
ECON,F212,FUNDA OF FIN AND ACCOUNT,,,,,,,,,,,,,,,,,,,,
ECON,F213,MATHEMATIC & STAT METHOD,,,,,,,,,,,,,,,,,,,,
ECON,F214,ECONOMIC ENV OF BUSINESS,,,,,,,,,,,,,,,,,,,,
ECON,F241,ECONOMETRIC METHODS,,,,,,,,,,,,,,,,,,,,
ECON,F242,MICROECONOMICS,ECON,    F211,PRINCIPLES OF ECONOMICS,PRE,,,,,,,,,,,,,,,,
ECON,F243,MACROECONOMICS,ECON,    F211,PRINCIPLES OF ECONOMICS,PRE,,,,,,,,,,,,,,,,
ECON,F244,ECONOMIC OF GROWTH & DEV,ECON,    F211,PRINCIPLES OF ECONOMICS,PRE,,,,,,,,,,,,,,,,
ECON,F311,INTERNATIONAL ECONOMICS,ECON,    F211,PRINCIPLES OF ECONOMICS,PRE,,,,,,,,,,,,,,,,
ECON,F312,MONEY BANK & FIN MARKETS,ECON,    F211,PRINCIPLES OF ECONOMICS,PRE,,,,,,,,,,,,,,,,
ECON,F313,ISSUES IN ECONOMIC DEV,ECON,    F211,PRINCIPLES OF ECONOMICS,PRE,,,,,,,,,,,,,,,,
ECON,F341,PUBLIC FIN THEO & POLICY,ECON,    F211,PRINCIPLES OF ECONOMICS,PRE,,,,,,,,,,,,,,,,
ECON,F342,APPLIED ECONOMETRICS,ECON,    F241,ECONOMETRIC METHODS,PRE,,,,,,,,,,,,,,,,
ECON,F343,ECONOMIC ANAL OF PUB POL,,,,,,,,,,,,,,,,,,,,
ECON,F344,MODELS IN OPERATIONS MANAGEMENT,,,,,,,,,,,,,,,,,,,,
ECON,F345,BEHAVIORAL ECONOMICS ,,,,,,,,,,,,,,,,,,,,
ECON,F351,INDIAN ECONOMIC DEV,,,,,,,,,,,,,,,,,,,,
ECON,F352,MGMT OF BANKS & FIN INST,,,,,,,,,,,,,,,,,,,,
ECON,F353,ENERGY ECONOMIC & POLICY,,,,,,,,,,,,,,,,,,,,
ECON,F354,DERIVATIVES &  RISK MGMT,,,,,,,,,,,,,,,,,,,,
ECON,F355,BUSS ANAL & VALUATION,,,,,,,,,,,,,,,,,,,,
ECON,F356,STRATEGIC FINANCIAL MGMT,,,,,,,,,,,,,,,,,,,,
ECON,F357,MGMT CONTROL SYSTEM,,,,,,,,,,,,,,,,,,,,
ECON,F411,PROJECT APPRAISAL,,,,,,,,,,,,,,,,,,,,
ECON,F412,SECUR ANAL & PORTFOL MGT,,,,,,,,,,,,,,,,,,,,
ECON,F413,FINANCIAL ENGINEERING,ECON,    F354,DERIVATIVES &  RISK MGMT,PRE,,,,,,,,,,,,,,,,
ECON,F414,CREAT & LEAD ENTREP ORGN,,,,,,,,,,,,,,,,,,,,
ECON,F415,NEW VENTURE CREATION,,,,,,,,,,,,,,,,,,,,
ECON,F416,REGIONAL ECONOMICS,,,,,,,,,,,,,,,,,,,,
ECON,F418,QUANTITATIVE ANALYSIS OF INTERNATIONAL TRADE,,,,,,,,,,,,,,,,,,,,
ECON,F422,FUNT & WORK STOCK EXCHAN,,,,,,,,,,,,,,,,,,,,
ECON,F471,RESOURCES & ENVIR ECON,,,,,,,,,,,,,,,,,,,,
EEE,F111,ELECTRICAL SCIENCES,,,,,,,,,,,,,,,,,,,,
EEE,F211,ELECTRICAL MACHINES,EEE,    F111,ELECTRICAL SCIENCES,PRE,,,,,,,,,,,,,,,,
EEE,F212,ELECTROMAGNETIC THEO I,,,,,,,,,,,,,,,,,,,,
EEE,F214,ELECTRONIC DEVICES,EEE,    F111,ELECTRICAL SCIENCES,PRE,,,,,,,,,,,,,,,,
EEE,F215,DIGITAL DESIGN,,,,,,,,,,,,,,,,,,,,
EEE,F241,MICROPROC & INTERFACING,,,,,,,,,,,,,,,,,,,,
EEE,F242,CONTROL SYSTEMS,,,,,,,,,,,,,,,,,,,,
EEE,F243,SIGNALS & SYSTEMS,,,,,,,,,,,,,,,,,,,,
EEE,F244,MICROELECTRONIC CIRCUITS,,,,,,,,,,,,,,,,,,,,
EEE,F245,CONTROL SYSTEM LABORARTORY,EEE,F242,CONTROL SYSTEMS,CO/PRE,OR,ECE,F242,CONTROL SYSTEMS,CO/PRE,OR,INSTR,F242,CONTROL SYSTEMS,CO/PRE,,,,,,
EEE,F246,ELECTRIC & ELECTRONIC CIR LAB,EEE,F243,SIGNALS & SYSTEMS,CO/PRE,AND,EEE,F244,MICROELECTRONIC CIRCUITS,CO/PRE,,,,,,,,,,,
EEE,F311,COMMUNICATION SYSTEMS,EEE,    F243,SIGNALS & SYSTEMS,PRE,,,,,,,,,,,,,,,,
EEE,F312,POWER SYSTEMS,,,,,,,,,,,,,,,,,,,,
EEE,F313,ANALOG & DIGIT VLSI DES,EEE /ECE,    F244,MICROELECTRONIC CIRCUITS,PRE,,,,,,,,,,,,,,,,
EEE,F341,ANALOG ELECTRONICS,EEE,    F244,MICROELECTRONIC CIRCUITS,PRE,,,,,,,,,,,,,,,,
EEE,F342,POWER ELECTRONICS,,,,,,,,,,,,,,,,,,,,
EEE,F345,POWER APPARATUS & NETWK,EEE/ INSTR/ ECE,    F211,ELECTRICAL MACHINES,PRE,,,,,,,,,,,,,,,,
EEE,F346,DATA COMMUNIC & NETWORKS,,,,,,,,,,,,,,,,,,,,
EEE,F347,COMMUNICATION NETWORKS LABORATORY,,,,,,,,,,,,,,,,,,,,
EEE,F348,FPGA BASED SYSTEM DESIGN LAB,EEE,F215,DIGITAL DESIGN,PRE,AND,EEE,F243,SIGNALS & SYSTEMS,PRE,,,,,,,,,,,
EEE,F414,TELECOM SWIT SYS & NETWK,,,,,,,,,,,,,,,,,,,,
EEE,F416,DIGITAL COMMUNICATION,,,,,,,,,,,,,,,,,,,,
EEE,F418,MOD COMMUNICATION TECH,EEE/ INSTR,    F243,SIGNALS & SYSTEMS,PRE,,,,,,,,,,,,,,,,
EEE,F422,MODERN CONTROL SYSTEMS,EEE/ ECE/ INSTR,    F242,CONTROL SYSTEMS,PRE,,,,,,,,,,,,,,,,
EEE,F425,POWER SYS ANAL & CONTROL,,,,,,,,,,,,,,,,,,,,
EEE,F426,FIBRE OPTICS & OPTOELECT,,,,,,,,,,,,,,,,,,,,
EEE,F427,ELEC POWER UTIL & ILLUM,,,,,,,,,,,,,,,,,,,,
EEE,F431,MOBILE TELECOM NETWORKS,EEE/ INSTR,    F243,SIGNALS & SYSTEMS,PRE,,,,,,,,,,,,,,,,
EEE,F432,MEDICAL INSTRUMENTATION,,,,,,,,,,,,,,,,,,,,
EEE,F433,ELECTR MAG FIELD & WAVES,EEE/ INSTR,    F212,ELECTROMAGNETIC THEO ,PRE,,PHY,F212,"ELECTROMAGNE
TIC THEO I",,,,,,,,,,,,
EEE,F434,DIGITAL SIGNAL PROCESS,EEE,    F243,SIGNALS & SYSTEMS,PRE,,,,,,,,,,,,,,,,
EEE,F435,DIGITAL IMAGE PROCESSING,,,,,,,,,,,,,,,,,,,,
EEE,F472,SATELLITE COMMUNICATION,EEE/ INSTR,    F243,SIGNALS & SYSTEMS,PRE,,,,,,,,,,,,,,,,
EEE,F473,WIND ELECTRICAL SYSTEMS,,,,,,,,,,,,,,,,,,,,
EEE,F474,ANTENNA THEORY AND DESIGN,,,,,,,,,,,,,,,,,,,,
EEE,F475,SPECIAL ELECTRICAL MACHINES,,,,,,,,,,,,,,,,,,,,
EEE,F476,SWITCHGEAR AND PROTECTION,,,,,,,,,,,,,,,,,,,,
EEE,F477,MODELING OF FIELD-EFFECT NANODEVICES,,,,,,,,,,,,,,,,,,,,
EEE,F478,POWER SYSTEMS LABORATORY,EEE,F312,POWER SYSTEMS,CO/PRE,,,,,,,,,,,,,,,,
EEE,G512,EMBEDDED SYSTEM DESIGN,ECE,F241,MICROPROCESSORS AND INTERFACING,PRE,OR,EEE ,F241,MICROPROCESSORS AND INTERFACING,PRE,,INSTR ,F241,MICROPROCESSORS AND INTERFACING,,,,,,,
EEE,G547,DEVICE DRIVERS,EEE,G512,EMBEDDED SYSTEM DESIGN,PRE,,,,,,,,,,,,,,,,
EEE,G593,POWER QUALITY,,,,,,,,,,,,,,,,,,,,
EEE,G594,ADVANCED VLSI DEVICES,,,,,,,,,,,,,,,,,,,,
EEE,G595,NANOELECTRONICS AND NANOPHOTONICS TECHNOLOGY,,,,,,,,,,,,,,,,,,,,
FIN,F212,FUNDA OF FIN AND ACCOUNT,,,,,,,,,,,,,,,,,,,,
FIN,F213,MATHEMATIC & STAT METHOD,,,,,,,,,,,,,,,,,,,,
FIN,F214,ECONOMIC ENV OF BUSINESS,,,,,,,,,,,,,,,,,,,,
FIN,F242,INTRO TO FINANCIAL MATH,,,,,,,,,,,,,,,,,,,,
FIN,F243,FUNT & WORK STOCK EXCHAN,,,,,,,,,,,,,,,,,,,,
FIN,F244,INDIAN FINANCIAL SYSTEM,,,,,,,,,,,,,,,,,,,,
FIN,F311,DERIVATIVES &  RISK MGMT,,,,,,,,,,,,,,,,,,,,
FIN,F312,FUND OF TAXATION & AUDIT,,,,,,,,,,,,,,,,,,,,
FIN,F313,SECUR ANAL & PORTFOL MGT,,,,,,,,,,,,,,,,,,,,
FIN,F314,INVEST BANK & FIN SERV,,,,,,,,,,,,,,,,,,,,
FIN,F315,FINANCIAL MANAGEMENT,FIN,    F212,FUNDA OF FIN AND ACCOUNT,PRE,,,,,,,,,,,,,,,,
FIN,F341,INTER FIN MARKETS & SER,,,,,,,,,,,,,,,,,,,,
FIN,F342,PROJECT FINANCE,,,,,,,,,,,,,,,,,,,,
GS,F211,MOD POLITICAL CONCEPTS,,,,,,,,,,,,,,,,,,,,
GS,F212,ENVIRON DEV & CLIMATE CH,,,,,,,,,,,,,,,,,,,,
GS,F213,DEVELOPMENT THEORIES,,,,,,,,,,,,,,,,,,,,
GS,F221,BUSINESS COMMUNICATION,,,,,,,,,,,,,,,,,,,,
GS,F222,LANGUAGE LAB PRACTICE,,,,,,,,,,,,,,,,,,,,
GS,F223,INTRO TO MASS COMM,,,,,,,,,,,,,,,,,,,,
GS,F224,PRINT & AUDIO- VISU ADVER,,,,,,,,,,,,,,,,,,,,
GS,F231,DYN OF SOCIAL CHANGE,,,,,,,,,,,,,,,,,,,,
GS,F232,INTRODUCTORY PSYCHOLOGY,,,,,,,,,,,,,,,,,,,,
GS,F233,PUBLIC POLICY,,,,,,,,,,,,,,,,,,,,
GS,F234,DEVELOPMENT ECONOMICS,,,,,,,,,,,,,,,,,,,,
GS,F241,CREATIVE WRITING,,,,,,,,,,,,,,,,,,,,
GS,F242,CULTURAL STUDIES,,,,,,,,,,,,,,,,,,,,
GS,F243,CURRENT AFFAIRS,,,,,,,,,,,,,,,,,,,,
GS,F244,REPORT & WRITE FOR MEDIA,,,,,,,,,,,,,,,,,,,,
GS,F245,EFFECTIVE PUBLIC SPEAK,,,,,,,,,,,,,,,,,,,,
GS,F311,INTRO TO CONFLICT MGMT,,,,,,,,,,,,,,,,,,,,
GS,F312,APPLIED PHILOSOPHY,,,,,,,,,,,,,,,,,,,,
GS,F321,MASS MEDIA & CONTENT DES,,,,,,,,,,,,,,,,,,,,
GS,F322,CRITI ANAL OF LIT & CINE,,,,,,,,,,,,,,,,,,,,
GS,F325,JOURNALISM,,,,,,,,,,,,,,,,,,,,
GS,F326,CREATIVE THINKING,,,,,,,,,,,,,,,,,,,,
GS,F327,SELECTED READING,,,,,,,,,,,,,,,,,,,,
GS,F331,TECH IN SOCIAL RESEARCH,,,,,,,,,,,,,,,,,,,,
GS,F332,CONTEMPORARY INDIA,,,,,,,,,,,,,,,,,,,,
GS,F333,PUBLIC ADMINISTRATION,,,,,,,,,,,,,,,,,,,,
GS,F334,GLOBAL BUSINESS TEC & KS,,,,,,,,,,,,,,,,,,,,
GS,F341,COPYWRITING,,,,,,,,,,,,,,,,,,,,
GS,F342,COMPUTER MEDIATED COMM,,,,,,,,,,,,,,,,,,,,
GS,F343,SHORT FILM & VIDEO PROD,,,,,,,,,,,,,,,,,,,,
HIST,F112,MAIN TRENDS IN IND HIST,,,,,,,,,,,,,,,,,,,,
HIST,F211,MAIN CURRENTS OF MOD HIST,,,,,,,,,,,,,,,,,,,,
HSS,F224,PRINT & AUDIO- VISU ADVER,,,,,,,,,,,,,,,,,,,,
HSS,F226,POST MODERNISM,,,,,,,,,,,,,,,,,,,,
HSS,F227,CROSS CULTURAL SKILLS,,,,,,,,,,,,,,,,,,,,
HSS,F237,CONTEMPORARY INDAIN ENGLISH FICTION,,,,,,,,,,,,,,,,,,,,
HSS,F238,SPORTS AND SOCIETY,,,,,,,,,,,,,,,,,,,,
HSS,F312,BUREAUCRACY,,,,,,,,,,,,,,,,,,,,
HSS,F315,"SOCIETY, BUS, & POLITICS",,,,,,,,,,,,,,,,,,,,
HSS,F324,CREATIVE & CRITICAL THIN,,,,,,,,,,,,,,,,,,,,
HSS,F325,CINEMATIC ADAPTATION,,,,,,,,,,,,,,,,,,,,
HSS,F326,HUMANITIES & DESIGN,,,,,,,,,,,,,,,,,,,,
HSS,F327,CONTEMPORARY DRAMA,,,,,,,,,,,,,,,,,,,,
HSS,F341,COPY WRITING,,,,,,,,,,,,,,,,,,,,
HSS,F343,SHORT FILM & VIDEO PROD,,,,,,,,,,,,,,,,,,,,
HSS,F351,SOCIAL AND POLITICAL ECOLOGY,,,,,,,,,,,,,,,,,,,,
HSS,F352,"TECHNOLOGY, WORK AND SOCIETY",,,,,,,,,,,,,,,,,,,,
HSS,F353,PHILOSOPHY OF AESTHETICS,,,,,,,,,,,,,,,,,,,,
HSS,F354,INTRODUCTION TO ISLAMIC ECONOMY,,,,,,,,,,,,,,,,,,,,
HSS,F355,"DICTATORSHIP, DEMOCRACY & DEVELOPMENT",,,,,,,,,,,,,,,,,,,,
HSS,F356,SOCIAL MOVEMENTS AND PROTEST POLITICS,,,,,,,,,,,,,,,,,,,,
HSS,F399,INTRODUCTION TO AMERICAN LITERATURE,,,,,,,,,,,,,,,,,,,,
HUM,F411,PROFESSIONAL ETHICS,,,,,,,,,,,,,,,,,,,,
HUM,F412,HERITAGE OF INDIA,,,,,,,,,,,,,,,,,,,,
INSTR,F211,ELECTRICAL MACHINES,EEE,    F111,ELECTRICAL SCIENCES,PRE,,,,,,,,,,,,,,,,
INSTR,F212,ELECTROMAGNETIC THEO I,,,,,,,,,,,,,,,,,,,,
INSTR,F214,ELECTRONIC DEVICES,EEE,    F111,ELECTRICAL SCIENCES,PRE,,,,,,,,,,,,,,,,
INSTR,F215,DIGITAL DESIGN,,,,,,,,,,,,,,,,,,,,
INSTR,F241,MICROPROC & INTERFACING,,,,,,,,,,,,,,,,,,,,
INSTR,F242,CONTROL SYSTEMS,,,,,,,,,,,,,,,,,,,,
INSTR,F243,SIGNALS & SYSTEMS,,,,,,,,,,,,,,,,,,,,
INSTR,F244,MICROELECTRONIC CIRCUITS,,,,,,,,,,,,,,,,,,,,
INSTR,F311,ELECTRO INST & INST TECH,,,,,,,,,,,,,,,,,,,,
INSTR,F312,TRANSD & MEASUREMENT TEC,,,,,,,,,,,,,,,,,,,,
INSTR,F313,ANALOG & DIGIT VLSI DES,INSTR,    F244,MICROELECTRONIC CIRCUITS,PRE,,,,,,,,,,,,,,,,
INSTR,F341,ANALOG ELECTRONICS,INSTR,    F244,MICROELECTRONIC CIRCUITS,PRE,,,,,,,,,,,,,,,,
INSTR,F342,POWER ELECTRONICS,,,,,,,,,,,,,,,,,,,,
INSTR,F343,INDUS INSTRUMENT & CONT,,,,,,,,,,,,,,,,,,,,
INSTR,F411,OPTO ELECTRONIC INSTRU,,,,,,,,,,,,,,,,,,,,
INSTR,F412,ANALYSIS INSTRUMENTATION,EEE,    F111,ELECTRICAL SCIENCES,PRE,,,,,,,,,,,,,,,,
INSTR,F413,ADVANCE PROCESS CONTROL,INSTR,    F343,INDUS INSTRUMENT & CONT,PRE,,,,,,,,,,,,,,,,
INSTR,F414,TELECOM SWIT SYS & NETWK,INSTR,    F243,SIGNALS & SYSTEMS,PRE,,,,,,,,,,,,,,,,
INSTR,F415,DIGITAL CONTROL,INSTR,    F242,CONTROL SYSTEMS,PRE,,,,,,,,,,,,,,,,
INSTR,F419,VIRTUAL INSTRUMENTATION,,,,,,,,,,,,,,,,,,,,
INSTR,F420,DESIGN OF INSTRU SYSTEMS,,,,,,,,,,,,,,,,,,,,
INSTR,F422,INSTRU FOR PETROCHEM IND,,,,,,,,,,,,,,,,,,,,
INSTR,F432,MEDICAL INSTRUMENTATION,,,,,,,,,,,,,,,,,,,,
INSTR,F473,WIND ELECTRICAL SYSTEMS,,,,,,,,,,,,,,,,,,,,
IS,F211,DATA STRUCTURES & ALGO,IS,    F222,DISCR STRUC FOR COMP SCI,PRE,,,,,,,,,,,,,,,,
IS,F213,OBJECT ORIENTED PROG,CS,    F111,COMPUTER PROGRAMMING,PRE,,,,,,,,,,,,,,,,
IS,F214,LOGIC IN COMPUTER SC,,,,,,,,,,,,,,,,,,,,
IS,F222,DISCR STRUC FOR COMP SCI,,,,,,,,,,,,,,,,,,,,
IS,F241,DIGITAL ELECTRO & MICRO,EEE,    F111,ELECTRICAL SCIENCES,PRE,,,,,,,,,,,,,,,,
IS,F242,COMPUTER ORGANIZATION,IS,    F241,DIGITAL ELECTRO & MICRO,PRE,,,,,,,,,,,,,,,,
IS,F243,DATABASE SYSTEMS & APPL,,,,,,,,,,,,,,,,,,,,
IS,F301,PRINCIPLES OF PROGG LANG,IS,    F211,DATA STRUCTURES & ALGO,PRE,,,,,,,,,,,,,,,,
IS,F303,COMPUTER NETWORKS,IS,    F372,OPERATING SYSTEMS,PRE,,,,,,,,,,,,,,,,
IS,F311,COMPUTER GRAPHICS,,,,,,,,,,,,,,,,,,,,
IS,F322,SOFTWARE TESTING,IS,    F341,SOFTWARE ENGINEERING,PRE,,,,,,,,,,,,,,,,
IS,F341,SOFTWARE ENGINEERING,IS,    F213,OBJECT ORIENTED PROG,PRE,,,,,,,,,,,,,,,,
IS,F342,COMPILER DESIGN,IS,    F301,PRINCIPLES OF PROGG LANG,PRE,,,,,,,,,,,,,,,,
IS,F372,OPERATING SYSTEMS,,,,,,,,,,,,,,,,,,,,
IS,F462,NETWORK PROGRAMMING,,,,,,,,,,,,,,,,,,,,
MATH,F111,MATHEMATICS-I,,,,,,,,,,,,,,,,,,,,
MATH,F112,MATHEMATICS-II,,,,,,,,,,,,,,,,,,,,
MATH,F113,PROBABILITY & STATISTICS,,,,,,,,,,,,,,,,,,,,
MATH,F211,MATHEMATICS III,,,,,,,,,,,,,,,,,,,,
MATH,F212,OPTIMIZATION,MATH,    F111,MATHEMATICS-I,PRE,AND,MATH,    F112,MATHEMATICS-II,PRE,,,,,,,,,,,
MATH,F213,DISCRETE MATHEMATICS,,,,,,,,,,,,,,,,,,,,
MATH,F214,ELEMENTARY REAL ANALYSIS,,,,,,,,,,,,,,,,,,,,
MATH,F215,ALGEBRA I,,,,,,,,,,,,,,,,,,,,
MATH,F231,NUMBER THEORY,,,,,,,,,,,,,,,,,,,,
MATH,F241,MATHEMATICAL METHODS,,,,,,,,,,,,,,,,,,,,
MATH,F242,OPERATIONS RESEARCH,MATH,    F113,PROBABILITY & STATISTICS,PRE,,,,,,,,,,,,,,,,
MATH,F243,GRAPHS AND NETWORKS,,,,,,,,,,,,,,,,,,,,
MATH,F244,MEASURE & INTEGRATION,MATH,    F214,ELEMENTARY REAL ANALYSIS,PRE,,,,,,,,,,,,,,,,
MATH,F311,INTRODUCTION TO TOPOLOGY,,,,,,,,,,,,,,,,,,,,
MATH,F312,ORDINARY DIFF EQUATIONS,MATH,    F211,MATHEMATICS III,PRE,,,,,,,,,,,,,,,,
MATH,F313,NUMERICAL ANALYSIS,MATH,    F111,MATHEMATICS-I,PRE,AND,MATH,    F112,MATHEMATICS-II,PRE,,,,,,,,,,,
MATH,F314,ALGEBRA-II,MATH,    F215,ALGEBRA I,PRE,,,,,,,,,,,,,,,,
MATH,F341,INTRO TO FUNCTIONAL ANAL,MATH,    F214,ELEMENTARY REAL ANALYSIS,PRE,,,,,,,,,,,,,,,,
MATH,F342,DIFFERENTIAL GEOMETRY,MATH,    F214,ELEMENTARY REAL ANALYSIS,PRE,,,,,,,,,,,,,,,,
MATH,F343,PARTIAL DIFF EQUATIONS,MATH,    F211,MATHEMATICS III,PRE,,,,,,,,,,,,,,,,
MATH,F344,MATHEMATICAL FLUID DYNAMICS,MATH,F111,MATH-I,PRE,AND,MATH ,F112,MATH-II,PRE,AND,MATH,F211,MATH-III,PRE,,,,,,
MATH,F353,STATISTICAL INFER & APP,MATH,    F113,PROBABILITY & STATISTICS,PRE,,,,,,,,,,,,,,,,
MATH,F354,COMPLEX ANALYSIS,MATH,    F112,MATHEMATICS-II,PRE,,,,,,,,,,,,,,,,
MATH,F378,ADVANCED PROBABILITY THEORY,MATH,F113,PROBABILITY AND STATISTICS,PRE,AND,MATH,F244,MEASURE AND INTEGRATION,PRE,,,,,,,,,,,
MATH,F421,COMBINATORIAL MATHS,,,,,,,,,,,,,,,,,,,,
MATH,F431,DISTRIBUTION THEORY,,,,,,,,,,,,,,,,,,,,
MATH,F441,DISCRETE MATHS STRUC,,,,,,,,,,,,,,,,,,,,
MATH,F444,NUMERICAL SOLS OF ODE,MATH,F211,MATHEMATICS III,PRE,AND,MATH,F313,,,,,,,,,,,,,
MATH,F420,MATHEMATICAL MODELLING,MATH,F211,MATHEMATICS III,PRE,,,,,,,,,,,,,,,,
MATH,F422,NUMERICAL METHODOLOGY FOR PARTIAL DIFFERENTIAL EQUATIONS,MATH,F211,MATHEMATICS-III,PRE,AND,MATH,F313,NUMERICAL ANALYSIS,PRE,,,,,,,,,,,
MATH,F423,INTRODUCTION TO ALGEBRAIC TOPOLOGY,MATH,F215,ALGEBRA I,PRE,AND,MATH,F311,INTRODUCTION TO TOPOLOGY,,,,,,,,,,,,
MATH,F424,APPLIED STOCHASTIC PROCESS,MATH,F113,PROBABILITY AND STATISTICS,PRE,,,,,,,,,,,,,,,,
MATH,F444,NUMERICAL SOLUTIONS OF ORDINARY DIFFERENTIAL EQUATIONS,MATH,F211,MATHEMATICS-III,PRE,AND,MATH,F313,NUMERICAL ANALYSIS,PRE,,,,,,,,,,,
MATH,F456,COSMOLOGY,,,,,,,,,,,,,,,,,,,,
MATH,F471,NONLINEAR OPTIMIZATION,,,,,,,,,,,,,,,,,,,,
MATH,F492,WEVELET ANALYSIS AND APPLICATIONS,MATH,F211,MATHEMATICS-III,,,,,,,,,,,,,,,,,
MBA,G553,ORGANIZATIONAL CHANGE AND DEVELOPMENT,,,,,,,,,,,,,,,,,,,,
MBA,G554,INNOVATIVE LEADERSHIP,,,,,,,,,,,,,,,,,,,,
MBA,G555,INTERNATIONAL HUMAN RESOURCE MANAGEMENT,,,,,,,,,,,,,,,,,,,,
MBA,G556,PERFORMANCE MANAGEMENT,,,,,,,,,,,,,,,,,,,,
ME,F110,WORKSHOP PRACTICE,,,,,,,,,,,,,,,,,,,,
ME,F211,MECHANICS OF SOLIDS,,,,,,,,,,,,,,,,,,,,
ME,F212,FLUID MECHANICS,,,,,,,,,,,,,,,,,,,,
ME,F213,MATERIALS SCIENCE & ENGG,,,,,,,,,,,,,,,,,,,,
ME,F214,APPLIED THERMODYNAMICS,BITS,    F111,THERMODYNAMICS,PRE,,,,,,,,,,,,,,,,
ME,F215,MECHANICAL ENGG LAB,,,,,,,,,,,,,,,,,,,,
ME,F241,MACHINE DESIGN & DRAWING,BITS,    F110,ENGINEERING GRAPHICS,PRE,,,,,,,,,,,,,,,,
ME,F242,IC ENGINES,BITS,    F111,THERMODYNAMICS,PRE,,,,,,,,,,,,,,,,
ME,F243,PRODUCTION TECHNIQUES I,ME,    F110,WORKSHOP PRACTICE,PRE,,,,,,,,,,,,,,,,
ME,F244,KIN & DYN OF  MACHINES,,,,,,,,,,,,,,,,,,,,
